Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
Que maravilha. Adoro quando se importam de verdade e promovem iniciativas que fazem a diferença em muitas vidas. 💛👏🏽👏🏽👏🏽,Que maravilha. Adoro quando se importam de verdade e promovem iniciativas que fazem a diferença em muitas vidas. :yellow_heart::clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone:,que maravilha adoro quando importam verdade promovem iniciativas que fazem diferença muitas vidas yellow_heartclapping_hands_medium_skin_toneclapping_hands_medium_skin_toneclapping_hands_medium_skin_tone,"['que', 'maravilha', 'adoro', 'quando', 'importam', 'verdade', 'promovem', 'iniciativas', 'que', 'fazem', 'diferença', 'muitas', 'vidas', 'yellow_heartclapping_hands_medium_skin_toneclapping_hands_medium_skin_toneclapping_hands_medium_skin_tone']","['maravilha', 'adoro', 'importam', 'verdade', 'promovem', 'iniciativas', 'fazem', 'diferença', 'muitas', 'vidas', 'yellow_heartclapping_hands_medium_skin_toneclapping_hands_medium_skin_toneclapping_hands_medium_skin_tone']","['maravilh', 'ador', 'import', 'verdad', 'promov', 'inici', 'faz', 'diferenç', 'muit', 'vid', 'yellow_heartclapping_hands_medium_skin_toneclapping_hands_medium_skin_toneclapping_hands_medium_skin_ton']",maravilh ador import verdad promov inici faz diferenç muit vid yellow_heartclapping_hands_medium_skin_toneclapping_hands_medium_skin_toneclapping_hands_medium_skin_ton
Maravilhosa 😍,Maravilhosa :smiling_face_with_heart-eyes:,maravilhosa smiling_face_with_hearteyes,"['maravilhosa', 'smiling_face_with_hearteyes']","['maravilhosa', 'smiling_face_with_hearteyes']","['maravilh', 'smiling_face_with_heartey']",maravilh smiling_face_with_heartey
👏👏👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hand
Você está linda ❤️🌻,Você está linda :red_heart::sunflower:,você está linda red_heartsunflower,"['você', 'está', 'linda', 'red_heartsunflower']","['linda', 'red_heartsunflower']","['lind', 'red_heartsunflow']",lind red_heartsunflow
😍😍😍😍😍😍😍,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes,['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes'],['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes'],['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_heartey'],smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_heartey
"Não sabia que o @bancodobrasil é o banco mais Sustentável do Planeta!!!
Parabéns @fillardis por compartilhar essa informação importante 🥰👊🏼🥰","Não sabia que o @bancodobrasil é o banco mais Sustentável do Planeta!!!
Parabéns @fillardis por compartilhar essa informação importante :smiling_face_with_hearts::oncoming_fist_medium-light_skin_tone::smiling_face_with_hearts:",não sabia que bancodobrasil banco mais sustentável planeta parabéns fillardis por compartilhar essa informação importante smiling_face_with_heartsoncoming_fist_mediumlight_skin_tonesmiling_face_with_hearts,"['não', 'sabia', 'que', 'bancodobrasil', 'banco', 'mais', 'sustentável', 'planeta', 'parabéns', 'fillardis', 'por', 'compartilhar', 'essa', 'informação', 'importante', 'smiling_face_with_heartsoncoming_fist_mediumlight_skin_tonesmiling_face_with_hearts']","['sabia', 'bancodobrasil', 'banco', 'sustentável', 'planeta', 'parabéns', 'fillardis', 'compartilhar', 'informação', 'importante', 'smiling_face_with_heartsoncoming_fist_mediumlight_skin_tonesmiling_face_with_hearts']","['sab', 'bancodobrasil', 'banc', 'sustent', 'planet', 'parabém', 'fillardil', 'compartilh', 'inform', 'import', 'smiling_face_with_heartsoncoming_fist_mediumlight_skin_tonesmiling_face_with_heart']",sab bancodobrasil banc sustent planet parabém fillardil compartilh inform import smiling_face_with_heartsoncoming_fist_mediumlight_skin_tonesmiling_face_with_heart
👏😍,:clapping_hands::smiling_face_with_heart-eyes:,clapping_handssmiling_face_with_hearteyes,['clapping_handssmiling_face_with_hearteyes'],['clapping_handssmiling_face_with_hearteyes'],['clapping_handssmiling_face_with_heartey'],clapping_handssmiling_face_with_heartey
Melhor banco 👏👏,Melhor banco :clapping_hands::clapping_hands:,melhor banco clapping_handsclapping_hands,"['melhor', 'banco', 'clapping_handsclapping_hands']","['melhor', 'banco', 'clapping_handsclapping_hands']","['melhor', 'banc', 'clapping_handsclapping_hand']",melhor banc clapping_handsclapping_hand
👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_hand
Arrasou😍,Arrasou:smiling_face_with_heart-eyes:,arrasousmiling_face_with_hearteyes,['arrasousmiling_face_with_hearteyes'],['arrasousmiling_face_with_hearteyes'],['arrasousmiling_face_with_heartey'],arrasousmiling_face_with_heartey
Necessária!!!,Necessária!!!,necessária,['necessária'],['necessária'],['necessár'],necessár
Que coisa linda de saber!!!!👏👏👏👏,Que coisa linda de saber!!!!:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,que coisa linda saberclapping_handsclapping_handsclapping_handsclapping_hands,"['que', 'coisa', 'linda', 'saberclapping_handsclapping_handsclapping_handsclapping_hands']","['coisa', 'linda', 'saberclapping_handsclapping_handsclapping_handsclapping_hands']","['cois', 'lind', 'saberclapping_handsclapping_handsclapping_handsclapping_hand']",cois lind saberclapping_handsclapping_handsclapping_handsclapping_hand
